POS,phastCons100way,phyloP100way
473,0.0,-0.742
474,0.0,0.054
475,0.0,-0.777
476,0.0,-1.215
477,0.001,0.415
478,0.0,0.236
479,0.0,-1.269
480,0.0,-0.863
481,0.0,-0.972
482,0.0,-0.503
483,0.0,0.004
484,0.0,-0.977
485,0.0,-0.554
486,0.0,-0.584
487,0.0,-0.739
488,0.001,1.07
489,0.001,-1.459
490,0.0,-1.43
491,0.0,-1.943
492,0.0,-3.888
493,0.0,0.055
494,0.0,-0.35
495,0.0,-3.094
496,0.0,-1.345
497,0.0,-1.854
498,0.0,-0.789
499,0.0,-2.766
500,0.0,-2.511
501,0.0,-1.455
502,0.0,-2.052
503,0.0,0.0
504,0.0,-2.295
505,0.0,-0.356
506,0.0,-1.051
507,0.0,-1.338
508,0.0,0.302
509,0.0,0.026
510,0.0,-1.526
511,0.0,-0.993
512,0.0,-0.412
513,0.0,-2.293
514,0.0,-1.002
515,0.0,0.243
516,0.0,-0.198
517,0.0,0.415
518,0.0,-1.218
519,0.0,-1.043
520,0.0,-0.426
521,0.0,-2.317
522,0.0,-0.12
523,0.0,-0.078
524,0.0,-1.746
525,0.0,-0.769
526,0.0,-2.693
527,0.0,-1.077
528,0.001,0.496
529,0.0,-1.166
530,0.001,0.554
531,0.0,-0.303
532,0.0,-0.681
533,0.0,0.194
534,0.001,0.569
535,0.0,-0.725
536,0.0,-0.39
537,0.0,-1.504
538,0.002,-0.011
539,0.007,0.956
540,0.003,-0.9
541,0.002,-0.101
542,0.003,-0.239
543,0.004,0.945
544,0.004,-0.066
545,0.004,-0.018
546,0.003,0.099
547,0.002,-0.093
548,0.001,-0.056
549,0.001,-0.474
550,0.003,0.979
551,0.002,0.526
552,0.0,-2.501
553,0.0,-0.547
554,0.0,0.285
555,0.0,-1.406
556,0.001,1.074
557,0.0,-0.433
558,0.0,-0.502
559,0.0,-0.059
560,0.0,-3.489
561,0.0,-0.109
562,0.0,0.149
563,0.0,-0.635
564,0.0,-0.825
565,0.0,-1.046
566,0.0,0.026
567,0.001,0.134
568,0.001,0.023
569,0.001,0.023
570,0.0,-0.061
571,0.0,-0.0
572,0.0,-1.243
573,0.028,-0.157
574,0.051,-0.548
575,0.112,-0.191
576,0.952,2.597
577,1.0,3.724
578,0.989,1.697
579,0.799,1.044
580,0.01,-1.274
581,0.914,2.947
582,0.917,0.251
583,1.0,8.61
584,1.0,7.078
585,1.0,8.207
586,1.0,8.794
587,1.0,6.979
588,1.0,7.078
589,1.0,7.078
590,1.0,8.183
591,0.07,0.341
592,0.0,-6.741
593,0.0,-3.612
594,0.0,-1.612
595,0.001,-0.875
596,0.0,-3.065
597,0.0,-3.78
598,1.0,6.743
599,1.0,8.533
600,1.0,8.533
601,1.0,9.146
602,1.0,4.453
603,1.0,4.549
604,1.0,0.83
605,1.0,1.173
606,1.0,1.377
607,1.0,1.356
608,1.0,3.235
609,1.0,5.552
610,1.0,7.356
611,1.0,9.146
612,1.0,8.533
613,1.0,8.533
614,1.0,5.704
615,1.0,3.534
616,1.0,3.707
617,1.0,5.146
618,0.998,0.56
619,1.0,1.236
620,1.0,2.668
621,1.0,3.099
622,1.0,5.207
623,1.0,8.533
624,0.959,-0.003
625,1.0,6.114
626,0.075,0.366
627,0.0,-1.688
628,0.0,-1.334
629,0.0,-2.974
630,0.0,-8.71
631,0.0,-4.065
632,0.0,-4.469
633,0.0,-10.706
634,0.0,-1.452
635,0.0,-9.779
636,0.0,-0.089
637,0.0,-1.464
638,0.004,0.023
639,0.987,4.442
640,0.985,3.557
641,0.08,0.528
642,0.0,-0.221
643,0.0,0.077
644,0.012,0.295
645,0.996,2.954
646,1.0,7.253
647,1.0,8.533
648,0.016,-1.211
649,0.984,8.63
650,0.727,0.227
651,1.0,8.63
652,1.0,3.266
653,1.0,4.99
654,1.0,0.855
655,1.0,3.657
656,1.0,7.424
657,1.0,4.121
658,1.0,6.235
659,1.0,7.437
660,1.0,4.544
661,1.0,5.622
662,0.904,0.608
663,0.867,0.114
664,1.0,4.123
665,1.0,2.278
666,1.0,3.561
667,1.0,4.623
668,1.0,5.724
669,0.0,-1.03
670,0.0,0.192
671,0.012,0.148
672,0.617,1.203
673,1.0,5.68
674,1.0,4.29
675,0.112,0.754
676,0.0,-2.337
677,0.003,0.043
678,0.362,3.781
679,0.0,-8.478
680,0.0,0.052
681,0.0,-0.587
682,0.0,0.03
683,0.0,-0.046
684,0.0,-0.918
685,0.0,0.299
686,0.0,-0.216
687,0.0,0.374
688,0.0,-2.831
689,0.994,2.463
690,1.0,5.725
691,1.0,8.63
692,1.0,0.732
693,1.0,8.63
694,1.0,7.333
695,1.0,8.63
696,1.0,5.724
697,1.0,7.422
698,1.0,3.69
699,1.0,6.756
700,1.0,8.63
701,1.0,5.19
702,0.0,-0.641
703,0.001,-0.056
704,1.0,7.437
705,1.0,7.333
706,0.0,-0.466
707,0.0,0.084
708,0.023,2.946
709,0.0,-3.691
710,0.0,-6.012
711,0.0,-1.38
712,1.0,7.333
713,1.0,5.628
714,0.001,-1.514
715,1.0,7.423
716,1.0,7.437
717,1.0,9.251
718,0.948,1.974
719,0.409,-0.214
720,0.883,1.703
721,1.0,4.706
722,1.0,0.557
723,1.0,1.988
724,1.0,4.552
725,1.0,5.466
726,1.0,5.467
727,0.025,0.131
728,0.0,-7.078
729,0.0,-4.11
730,0.0,0.503
731,0.0,-0.844
732,0.0,-8.562
733,0.0,-0.944
734,0.0,0.841
735,0.0,-2.163
736,0.0,-8.239
737,0.0,-11.355
738,0.0,-1.881
739,0.0,-7.653
740,0.017,1.273
741,0.008,0.92
742,0.0,-4.151
743,0.0,-5.187
744,0.0,-0.154
745,0.0,-0.418
746,0.001,-0.046
747,0.994,3.244
748,1.0,5.366
749,1.0,9.327
750,1.0,6.905
751,1.0,6.29
752,0.001,0.019
753,0.0,-8.762
754,1.0,5.326
755,1.0,3.152
756,0.005,-1.448
757,1.0,8.7
758,1.0,5.775
759,1.0,5.652
760,1.0,8.7
761,1.0,7.277
762,1.0,9.327
763,1.0,1.513
764,1.0,3.13
765,1.0,5.685
766,0.991,2.824
767,0.668,0.782
768,0.0,-5.448
769,0.0,-9.551
770,0.0,-13.626
771,0.0,-6.854
772,0.0,-4.149
773,0.0,-11.915
774,0.059,0.306
775,0.477,0.715
776,1.0,5.463
777,1.0,9.327
778,1.0,7.39
779,1.0,5.693
780,0.993,0.501
781,0.997,5.699
782,0.0,-2.078
783,0.0,-0.746
784,0.985,8.7
785,0.728,1.466
786,0.0,-2.121
787,0.771,1.522
788,1.0,3.705
789,1.0,3.79
790,0.892,-0.114
791,1.0,7.471
792,1.0,5.663
793,0.0,-0.173
794,0.0,-3.302
795,0.002,0.511
796,0.184,0.42
797,1.0,5.661
798,1.0,7.39
799,1.0,5.735
800,1.0,5.676
801,1.0,1.784
802,1.0,2.36
803,1.0,4.588
804,1.0,4.599
805,1.0,2.348
806,1.0,3.709
807,1.0,8.7
808,1.0,1.137
809,1.0,4.426
810,1.0,9.327
811,1.0,6.292
812,0.98,2.529
813,0.0,-9.532
814,0.989,2.711
815,1.0,7.39
816,1.0,8.7
817,1.0,7.487
818,1.0,5.68
819,1.0,8.7
820,1.0,9.327
821,1.0,5.78
822,1.0,1.683
823,1.0,3.143
824,1.0,1.046
825,1.0,2.393
826,1.0,3.333
827,1.0,4.81
828,0.085,-0.283
829,0.232,0.851
830,1.0,5.75
831,1.0,5.776
832,1.0,1.013
833,1.0,4.808
834,1.0,4.432
835,0.986,2.415
836,0.005,-1.351
837,1.0,8.7
838,1.0,7.495
839,0.001,-1.188
840,1.0,5.793
841,1.0,5.909
842,1.0,0.653
843,1.0,4.489
844,0.002,-0.399
845,1.0,8.646
846,1.0,6.911
847,1.0,2.744
848,1.0,3.672
849,1.0,3.82
850,0.977,0.068
851,1.0,4.404
852,1.0,6.856
853,1.0,3.651
854,1.0,3.812
855,0.999,0.632
856,1.0,8.7
857,1.0,4.362
858,0.001,-0.252
859,0.0,-0.821
860,0.84,6.908
861,0.01,0.042
862,0.0,-0.759
863,0.0,-0.03
864,0.0,0.192
865,0.0,0.091
866,0.0,-0.484
867,0.0,-3.588
868,0.0,-7.766
869,0.0,-7.08
870,0.0,-8.046
871,1.0,5.739
872,1.0,7.504
873,0.894,0.036
874,0.945,3.055
875,0.595,0.263
876,0.589,0.156
877,1.0,7.507
878,1.0,7.451
879,1.0,5.767
880,0.991,0.497
881,1.0,8.7
882,1.0,6.85
883,0.997,2.048
884,0.88,0.072
885,1.0,4.667
886,1.0,3.746
887,1.0,6.241
888,1.0,7.495
889,1.0,7.451
890,1.0,7.39
891,1.0,3.722
892,1.0,8.7
893,1.0,6.278
894,1.0,7.39
895,1.0,2.855
896,1.0,5.792
897,1.0,5.68
898,1.0,3.696
899,1.0,4.494
900,1.0,7.39
901,1.0,5.319
902,1.0,7.44
903,1.0,2.022
904,1.0,2.977
905,1.0,8.7
906,1.0,0.559
907,1.0,8.7
908,1.0,4.549
909,1.0,3.605
910,1.0,5.741
911,1.0,2.435
912,0.998,2.366
913,0.887,0.616
914,0.873,0.443
915,0.899,2.429
916,0.873,0.187
917,0.994,4.592
918,0.981,0.55
919,0.985,4.689
920,0.009,0.268
921,0.0,-2.464
922,0.823,1.144
923,1.0,5.48
924,1.0,6.792
925,0.145,0.462
926,0.007,0.43
927,0.0,-0.051
928,0.0,-2.452
929,0.0,-10.128
930,0.0,-6.68
931,0.0,-10.29
932,0.996,3.023
933,1.0,5.268
934,1.0,7.503
935,1.0,4.589
936,1.0,5.356
937,1.0,4.666
938,1.0,8.7
939,1.0,4.811
940,1.0,8.7
941,0.962,1.534
942,0.0,-2.655
943,1.0,5.318
944,1.0,3.082
945,0.999,2.95
946,0.002,0.059
947,0.0,0.358
948,0.0,-0.181
949,0.0,-0.33
950,0.0,0.088
951,0.0,0.114
952,0.0,0.744
953,0.0,-5.933
954,0.0,-3.126
955,0.0,-0.011
956,0.0,-5.51
957,0.0,-5.213
958,0.0,-10.519
959,0.0,-5.335
960,0.0,-5.71
961,0.0,-7.533
962,0.0,-4.882
963,0.0,-7.376
964,0.0,-8.68
965,0.0,-1.377
966,0.892,3.034
967,0.908,0.489
968,1.0,4.571
969,1.0,4.783
970,0.413,0.839
971,0.358,0.917
972,0.014,0.763
973,0.0,-0.276
974,0.002,-0.043
975,0.764,1.576
976,0.964,5.622
977,0.735,1.635
978,0.0,-6.835
979,0.0,-9.652
980,0.0,-8.535
981,0.0,-2.503
982,0.0,-0.493
983,0.0,-1.631
984,0.0,0.823
985,0.0,-0.406
986,0.0,0.079
987,0.0,0.734
988,0.0,0.387
989,0.0,0.574
990,0.0,-0.65
991,1.0,7.187
992,1.0,4.434
993,0.97,0.517
994,0.97,0.706
995,1.0,1.988
996,1.0,8.393
997,1.0,1.849
998,0.995,2.235
999,0.118,-0.147
1000,0.0,-0.941
1001,0.0,-2.136
1002,0.0,-2.019
1003,0.0,-0.577
1004,0.0,-0.022
1005,0.0,-2.625
1006,0.0,-1.363
1007,0.0,-1.873
1008,0.0,-3.471
1009,0.0,-7.803
1010,0.0,-4.838
1011,0.0,-2.359
1012,0.029,2.239
1013,0.025,1.362
1014,0.019,1.368
1015,0.0,-1.108
1016,0.0,-1.132
1017,0.0,-0.258
1018,0.0,-0.156
1019,0.0,-0.288
1020,0.0,-2.658
1021,0.0,-4.106
1022,0.946,2.462
1023,0.972,1.386
1024,0.995,0.928
1025,1.0,6.747
1026,1.0,8.54
1027,1.0,1.039
1028,1.0,2.798
1029,0.998,2.989
1030,0.001,-0.982
1031,0.062,2.041
1032,0.06,0.576
1033,0.084,0.536
1034,0.708,0.615
1035,0.999,2.515
1036,1.0,7.047
1037,0.0,-4.175
1038,0.0,-10.246
1039,0.0,-4.136
1040,0.0,-14.841
1041,0.0,-3.881
1042,0.0,-5.885
1043,0.0,-0.945
1044,0.0,-0.099
1045,0.053,0.142
1046,0.23,3.705
1047,0.0,-0.269
1048,0.0,-4.054
1049,0.001,-0.054
1050,1.0,5.754
1051,1.0,8.785
1052,1.0,3.795
1053,1.0,1.322
1054,1.0,6.98
1055,0.013,-1.085
1056,1.0,4.679
1057,1.0,3.879
1058,1.0,3.767
1059,1.0,1.144
1060,0.999,4.163
1061,0.049,-0.568
1062,0.988,6.456
1063,0.0,-0.488
1064,0.0,-4.52
1065,0.182,0.86
1066,1.0,7.509
1067,1.0,7.016
1068,1.0,8.845
1069,1.0,7.048
1070,1.0,5.798
1071,1.0,5.891
1072,1.0,5.465
1073,1.0,5.463
1074,1.0,9.483
1075,1.0,7.042
1076,1.0,7.616
1077,1.0,7.616
1078,1.0,8.845
1079,1.0,7.645
1080,1.0,8.845
1081,1.0,4.775
1082,1.0,8.845
1083,1.0,4.705
1084,1.0,2.514
1085,1.0,4.696
1086,1.0,2.537
1087,1.0,7.109
1088,1.0,4.697
1089,1.0,7.616
1090,1.0,7.042
1091,1.0,5.894
1092,1.0,6.404
1093,1.0,4.683
1094,0.023,-0.913
1095,0.996,2.557
1096,1.0,2.134
1097,1.0,4.49
1098,1.0,2.508
1099,0.998,3.83
1100,0.0,-3.1
1101,1.0,4.787
1102,1.0,4.641
1103,1.0,7.057
1104,1.0,7.016
1105,0.994,3.11
1106,0.0,-7.778
1107,0.0,-0.822
1108,0.0,-1.553
1109,0.0,-0.214
1110,0.0,0.778
1111,0.0,0.16
1112,0.0,0.773
1113,0.0,-6.867
1114,0.0,0.057
1115,0.0,-2.184
1116,0.0,-6.133
1117,0.0,-5.881
1118,0.0,-3.922
1119,0.0,-9.806
1120,0.0,-6.589
1121,0.816,1.945
1122,0.981,5.856
1123,0.743,1.366
1124,0.001,-0.089
1125,0.0,0.682
1126,0.0,-1.093
1127,0.0,0.507
1128,0.0,-9.953
1129,0.0,0.534
1130,0.0,0.554
1131,0.0,0.248
1132,0.003,0.125
1133,1.0,3.817
1134,1.0,3.288
1135,1.0,5.798
1136,1.0,7.509
1137,0.955,0.219
1138,1.0,6.426
1139,1.0,5.691
1140,0.996,2.158
1141,0.317,-0.274
1142,1.0,8.845
1143,1.0,3.105
1144,1.0,7.616
1145,1.0,8.845
1146,1.0,4.693
1147,0.833,-0.209
1148,0.99,2.237
1149,1.0,5.474
1150,1.0,4.63
1151,0.0,-0.441
1152,0.001,1.543
1153,0.0,-1.656
1154,0.005,0.193
1155,1.0,9.483
1156,1.0,5.796
1157,1.0,1.639
1158,1.0,1.606
1159,1.0,2.206
1160,1.0,7.042
1161,1.0,7.045
1162,1.0,8.845
1163,1.0,4.695
1164,1.0,5.596
1165,1.0,2.966
1166,1.0,3.894
1167,1.0,8.845
1168,1.0,8.765
1169,1.0,5.384
1170,1.0,4.586
1171,1.0,6.966
1172,1.0,5.724
1173,1.0,3.07
1174,1.0,7.55
1175,1.0,9.397
1176,1.0,3.619
1177,1.0,3.754
1178,1.0,4.556
1179,1.0,7.658
1180,1.0,3.899
1181,1.0,3.673
1182,1.0,4.612
1183,0.984,0.729
1184,0.978,2.058
1185,0.547,-0.235
1186,0.98,8.845
1187,0.009,-1.214
1188,0.951,8.627
1189,0.164,-0.479
1190,1.0,5.789
1191,0.999,4.7
1192,0.0,-1.795
1193,0.004,0.065
1194,1.0,7.509
1195,1.0,5.898
1196,1.0,8.845
1197,1.0,7.657
1198,1.0,7.055
1199,1.0,9.483
1200,1.0,7.653
1201,1.0,8.845
1202,1.0,9.483
1203,1.0,7.509
1204,1.0,7.509
1205,1.0,7.616
1206,1.0,7.657
1207,1.0,7.616
1208,1.0,1.667
1209,1.0,3.057
1210,1.0,2.575
1211,0.956,0.258
1212,1.0,2.92
1213,1.0,7.042
1214,1.0,8.845
1215,1.0,1.38
1216,1.0,1.569
1217,1.0,6.294
1218,1.0,8.841
1219,1.0,2.583
1220,1.0,4.009
1221,0.937,0.174
1222,0.992,1.613
1223,1.0,5.688
1224,1.0,4.596
1225,1.0,2.92
1226,1.0,3.07
1227,1.0,3.174
1228,0.774,-0.054
1229,0.973,5.809
1230,0.0,-1.766
1231,0.0,-3.825
1232,1.0,7.043
1233,1.0,7.507
1234,1.0,7.507
1235,0.421,0.59
1236,0.234,-0.193
1237,1.0,7.043
1238,1.0,4.692
1239,1.0,5.787
1240,0.007,0.264
1241,0.0,-2.597
1242,0.0,-1.631
1243,0.0,-1.903
1244,0.306,0.747
1245,1.0,6.085
1246,1.0,0.67
1247,1.0,7.552
1248,0.999,4.28
1249,0.0,-1.769
1250,1.0,5.79
1251,1.0,2.374
1252,1.0,7.649
1253,0.977,0.19
1254,1.0,4.701
1255,1.0,5.898
1256,1.0,3.392
1257,1.0,3.2
1258,1.0,7.016
1259,1.0,7.613
1260,1.0,7.038
1261,1.0,7.507
1262,1.0,2.007
1263,1.0,2.059
1264,1.0,5.768
1265,1.0,7.483
1266,1.0,5.019
1267,1.0,5.873
1268,1.0,4.668
1269,1.0,2.708
1270,1.0,3.551
1271,1.0,3.676
1272,1.0,8.841
1273,1.0,7.653
1274,1.0,5.771
1275,0.015,-0.816
1276,0.63,1.19
1277,1.0,5.859
1278,1.0,5.789
1279,1.0,7.507
1280,0.816,1.571
1281,0.003,-0.015
1282,0.0,-1.666
1283,0.507,4.263
1284,0.216,0.019
1285,0.242,-2.115
1286,0.978,8.841
1287,0.347,-0.177
1288,0.995,2.197
1289,1.0,5.422
1290,0.0,-5.93
1291,0.0,-3.296
1292,0.0,-11.56
1293,0.0,-1.514
1294,0.027,3.119
1295,0.0,-1.907
1296,1.0,6.806
1297,1.0,6.383
1298,1.0,5.868
1299,1.0,1.332
1300,1.0,1.624
1301,1.0,5.363
1302,0.998,3.802
1303,0.0,-2.897
1304,0.0,-1.554
1305,0.981,2.787
1306,0.997,6.99
1307,0.0,-4.93
1308,0.0,-4.622
1309,0.004,1.453
1310,0.0,-6.223
1311,0.0,-1.816
