POS,LOCUS,BIOTYPE
182,MT-DLOOP,REG
183,MT-DLOOP,REG
184,MT-DLOOP,REG
185,MT-DLOOP,REG
186,MT-DLOOP,REG
187,MT-DLOOP,REG
188,MT-DLOOP,REG
189,MT-DLOOP,REG
190,MT-DLOOP,REG
191,MT-DLOOP,REG
192,MT-DLOOP,REG
193,MT-DLOOP,REG
194,MT-DLOOP,REG
195,MT-DLOOP,REG
196,MT-DLOOP,REG
197,MT-DLOOP,REG
198,MT-DLOOP,REG
199,MT-DLOOP,REG
200,MT-DLOOP,REG
201,MT-DLOOP,REG
202,MT-DLOOP,REG
203,MT-DLOOP,REG
204,MT-DLOOP,REG
205,MT-DLOOP,REG
206,MT-DLOOP,REG
207,MT-DLOOP,REG
208,MT-DLOOP,REG
209,MT-DLOOP,REG
210,MT-DLOOP,REG
211,MT-DLOOP,REG
212,MT-DLOOP,REG
213,MT-DLOOP,REG
214,MT-DLOOP,REG
215,MT-DLOOP,REG
216,MT-DLOOP,REG
217,MT-DLOOP,REG
218,MT-DLOOP,REG
219,MT-DLOOP,REG
220,MT-DLOOP,REG
221,MT-DLOOP,REG
222,MT-DLOOP,REG
223,MT-DLOOP,REG
224,MT-DLOOP,REG
225,MT-DLOOP,REG
226,MT-DLOOP,REG
227,MT-DLOOP,REG
228,MT-DLOOP,REG
229,MT-DLOOP,REG
230,MT-DLOOP,REG
231,MT-DLOOP,REG
232,MT-DLOOP,REG
233,MT-DLOOP,REG
234,MT-DLOOP,REG
235,MT-DLOOP,REG
236,MT-DLOOP,REG
237,MT-DLOOP,REG
238,MT-DLOOP,REG
239,MT-DLOOP,REG
240,MT-DLOOP,REG
241,MT-DLOOP,REG
242,MT-DLOOP,REG
243,MT-DLOOP,REG
244,MT-DLOOP,REG
245,MT-DLOOP,REG
246,MT-DLOOP,REG
247,MT-DLOOP,REG
248,MT-DLOOP,REG
249,MT-DLOOP,REG
250,MT-DLOOP,REG
251,MT-DLOOP,REG
252,MT-DLOOP,REG
253,MT-DLOOP,REG
254,MT-DLOOP,REG
255,MT-DLOOP,REG
256,MT-DLOOP,REG
257,MT-DLOOP,REG
258,MT-DLOOP,REG
259,MT-DLOOP,REG
260,MT-DLOOP,REG
261,MT-DLOOP,REG
262,MT-DLOOP,REG
263,MT-DLOOP,REG
264,MT-DLOOP,REG
265,MT-DLOOP,REG
266,MT-DLOOP,REG
267,MT-DLOOP,REG
268,MT-DLOOP,REG
269,MT-DLOOP,REG
270,MT-DLOOP,REG
271,MT-DLOOP,REG
272,MT-DLOOP,REG
273,MT-DLOOP,REG
274,MT-DLOOP,REG
275,MT-DLOOP,REG
276,MT-DLOOP,REG
277,MT-DLOOP,REG
278,MT-DLOOP,REG
279,MT-DLOOP,REG
280,MT-DLOOP,REG
281,MT-DLOOP,REG
282,MT-DLOOP,REG
283,MT-DLOOP,REG
284,MT-DLOOP,REG
285,MT-DLOOP,REG
286,MT-DLOOP,REG
287,MT-DLOOP,REG
288,MT-DLOOP,REG
289,MT-DLOOP,REG
290,MT-DLOOP,REG
291,MT-DLOOP,REG
292,MT-DLOOP,REG
293,MT-DLOOP,REG
294,MT-DLOOP,REG
295,MT-DLOOP,REG
296,MT-DLOOP,REG
297,MT-DLOOP,REG
298,MT-DLOOP,REG
299,MT-DLOOP,REG
300,MT-DLOOP,REG
301,MT-DLOOP,REG
302,MT-DLOOP,REG
303,MT-DLOOP,REG
304,MT-DLOOP,REG
305,MT-DLOOP,REG
306,MT-DLOOP,REG
307,MT-DLOOP,REG
308,MT-DLOOP,REG
309,MT-DLOOP,REG
310,MT-DLOOP,REG
311,MT-DLOOP,REG
312,MT-DLOOP,REG
313,MT-DLOOP,REG
314,MT-DLOOP,REG
315,MT-DLOOP,REG
316,MT-DLOOP,REG
317,MT-DLOOP,REG
318,MT-DLOOP,REG
319,MT-DLOOP,REG
320,MT-DLOOP,REG
321,MT-DLOOP,REG
322,MT-DLOOP,REG
323,MT-DLOOP,REG
324,MT-DLOOP,REG
325,MT-DLOOP,REG
326,MT-DLOOP,REG
327,MT-DLOOP,REG
328,MT-DLOOP,REG
329,MT-DLOOP,REG
330,MT-DLOOP,REG
331,MT-DLOOP,REG
332,MT-DLOOP,REG
333,MT-DLOOP,REG
334,MT-DLOOP,REG
335,MT-DLOOP,REG
336,MT-DLOOP,REG
337,MT-DLOOP,REG
338,MT-DLOOP,REG
339,MT-DLOOP,REG
340,MT-DLOOP,REG
341,MT-DLOOP,REG
342,MT-DLOOP,REG
343,MT-DLOOP,REG
344,MT-DLOOP,REG
345,MT-DLOOP,REG
346,MT-DLOOP,REG
347,MT-DLOOP,REG
348,MT-DLOOP,REG
349,MT-DLOOP,REG
350,MT-DLOOP,REG
351,MT-DLOOP,REG
352,MT-DLOOP,REG
353,MT-DLOOP,REG
354,MT-DLOOP,REG
355,MT-DLOOP,REG
356,MT-DLOOP,REG
357,MT-DLOOP,REG
358,MT-DLOOP,REG
359,MT-DLOOP,REG
360,MT-DLOOP,REG
361,MT-DLOOP,REG
362,MT-DLOOP,REG
363,MT-DLOOP,REG
364,MT-DLOOP,REG
365,MT-DLOOP,REG
366,MT-DLOOP,REG
367,MT-DLOOP,REG
368,MT-DLOOP,REG
369,MT-DLOOP,REG
370,MT-DLOOP,REG
371,MT-DLOOP,REG
372,MT-DLOOP,REG
373,MT-DLOOP,REG
374,MT-DLOOP,REG
375,MT-DLOOP,REG
376,MT-DLOOP,REG
377,MT-DLOOP,REG
378,MT-DLOOP,REG
379,MT-DLOOP,REG
380,MT-DLOOP,REG
381,MT-DLOOP,REG
382,MT-DLOOP,REG
383,MT-DLOOP,REG
384,MT-DLOOP,REG
385,MT-DLOOP,REG
386,MT-DLOOP,REG
387,MT-DLOOP,REG
388,MT-DLOOP,REG
389,MT-DLOOP,REG
390,MT-DLOOP,REG
391,MT-DLOOP,REG
392,MT-DLOOP,REG
393,MT-DLOOP,REG
394,MT-DLOOP,REG
395,MT-DLOOP,REG
396,MT-DLOOP,REG
397,MT-DLOOP,REG
398,MT-DLOOP,REG
399,MT-DLOOP,REG
400,MT-DLOOP,REG
401,MT-DLOOP,REG
402,MT-DLOOP,REG
403,MT-DLOOP,REG
404,MT-DLOOP,REG
405,MT-DLOOP,REG
406,MT-DLOOP,REG
407,MT-DLOOP,REG
408,MT-DLOOP,REG
409,MT-DLOOP,REG
410,MT-DLOOP,REG
411,MT-DLOOP,REG
412,MT-DLOOP,REG
413,MT-DLOOP,REG
414,MT-DLOOP,REG
415,MT-DLOOP,REG
416,MT-DLOOP,REG
417,MT-DLOOP,REG
418,MT-DLOOP,REG
419,MT-DLOOP,REG
420,MT-DLOOP,REG
421,MT-DLOOP,REG
422,MT-DLOOP,REG
423,MT-DLOOP,REG
424,MT-DLOOP,REG
425,MT-DLOOP,REG
426,MT-DLOOP,REG
427,MT-DLOOP,REG
428,MT-DLOOP,REG
429,MT-DLOOP,REG
430,MT-DLOOP,REG
431,MT-DLOOP,REG
432,MT-DLOOP,REG
433,MT-DLOOP,REG
434,MT-DLOOP,REG
435,MT-DLOOP,REG
436,MT-DLOOP,REG
437,MT-DLOOP,REG
438,MT-DLOOP,REG
439,MT-DLOOP,REG
440,MT-DLOOP,REG
441,MT-DLOOP,REG
442,MT-DLOOP,REG
443,MT-DLOOP,REG
444,MT-DLOOP,REG
445,MT-DLOOP,REG
446,MT-DLOOP,REG
447,MT-DLOOP,REG
448,MT-DLOOP,REG
449,MT-DLOOP,REG
450,MT-DLOOP,REG
451,MT-DLOOP,REG
452,MT-DLOOP,REG
453,MT-DLOOP,REG
454,MT-DLOOP,REG
455,MT-DLOOP,REG
456,MT-DLOOP,REG
457,MT-DLOOP,REG
458,MT-DLOOP,REG
459,MT-DLOOP,REG
460,MT-DLOOP,REG
461,MT-DLOOP,REG
462,MT-DLOOP,REG
463,MT-DLOOP,REG
464,MT-DLOOP,REG
465,MT-DLOOP,REG
466,MT-DLOOP,REG
467,MT-DLOOP,REG
468,MT-DLOOP,REG
469,MT-DLOOP,REG
470,MT-DLOOP,REG
471,MT-DLOOP,REG
472,MT-DLOOP,REG
473,MT-DLOOP,REG
474,MT-DLOOP,REG
475,MT-DLOOP,REG
476,MT-DLOOP,REG
477,MT-DLOOP,REG
478,MT-DLOOP,REG
479,MT-DLOOP,REG
480,MT-DLOOP,REG
481,MT-DLOOP,REG
482,MT-DLOOP,REG
483,MT-DLOOP,REG
484,MT-DLOOP,REG
485,MT-DLOOP,REG
486,MT-DLOOP,REG
487,MT-DLOOP,REG
488,MT-DLOOP,REG
489,MT-DLOOP,REG
490,MT-DLOOP,REG
491,MT-DLOOP,REG
492,MT-DLOOP,REG
493,MT-DLOOP,REG
494,MT-DLOOP,REG
495,MT-DLOOP,REG
496,MT-DLOOP,REG
497,MT-DLOOP,REG
498,MT-DLOOP,REG
499,MT-DLOOP,REG
500,MT-DLOOP,REG
501,MT-DLOOP,REG
502,MT-DLOOP,REG
503,MT-DLOOP,REG
504,MT-DLOOP,REG
505,MT-DLOOP,REG
506,MT-DLOOP,REG
507,MT-DLOOP,REG
508,MT-DLOOP,REG
509,MT-DLOOP,REG
510,MT-DLOOP,REG
511,MT-DLOOP,REG
512,MT-DLOOP,REG
513,MT-DLOOP,REG
514,MT-DLOOP,REG
515,MT-DLOOP,REG
516,MT-DLOOP,REG
517,MT-DLOOP,REG
518,MT-DLOOP,REG
519,MT-DLOOP,REG
520,MT-DLOOP,REG
521,MT-DLOOP,REG
522,MT-DLOOP,REG
523,MT-DLOOP,REG
524,MT-DLOOP,REG
525,MT-DLOOP,REG
526,MT-DLOOP,REG
527,MT-DLOOP,REG
528,MT-DLOOP,REG
529,MT-DLOOP,REG
530,MT-DLOOP,REG
531,MT-DLOOP,REG
532,MT-DLOOP,REG
533,MT-DLOOP,REG
534,MT-DLOOP,REG
535,MT-DLOOP,REG
536,MT-DLOOP,REG
537,MT-DLOOP,REG
538,MT-DLOOP,REG
539,MT-DLOOP,REG
540,MT-DLOOP,REG
541,MT-DLOOP,REG
542,MT-DLOOP,REG
543,MT-DLOOP,REG
544,MT-DLOOP,REG
545,MT-DLOOP,REG
546,MT-DLOOP,REG
547,MT-DLOOP,REG
548,MT-DLOOP,REG
549,MT-DLOOP,REG
550,MT-DLOOP,REG
551,MT-DLOOP,REG
552,MT-DLOOP,REG
553,MT-DLOOP,REG
554,MT-DLOOP,REG
555,MT-DLOOP,REG
556,MT-DLOOP,REG
557,MT-DLOOP,REG
558,MT-DLOOP,REG
559,MT-DLOOP,REG
560,MT-DLOOP,REG
561,MT-DLOOP,REG
562,MT-DLOOP,REG
563,MT-DLOOP,REG
564,MT-DLOOP,REG
565,MT-DLOOP,REG
566,MT-DLOOP,REG
567,MT-DLOOP,REG
568,MT-DLOOP,REG
569,MT-DLOOP,REG
570,MT-DLOOP,REG
571,MT-DLOOP,REG
572,MT-DLOOP,REG
573,MT-DLOOP,REG
574,MT-DLOOP,REG
575,MT-DLOOP,REG
576,MT-DLOOP,REG
577,MT-TF,tRNA
578,MT-TF,tRNA
579,MT-TF,tRNA
580,MT-TF,tRNA
581,MT-TF,tRNA
582,MT-TF,tRNA
583,MT-TF,tRNA
584,MT-TF,tRNA
585,MT-TF,tRNA
586,MT-TF,tRNA
587,MT-TF,tRNA
588,MT-TF,tRNA
589,MT-TF,tRNA
590,MT-TF,tRNA
591,MT-TF,tRNA
592,MT-TF,tRNA
593,MT-TF,tRNA
594,MT-TF,tRNA
595,MT-TF,tRNA
596,MT-TF,tRNA
597,MT-TF,tRNA
598,MT-TF,tRNA
599,MT-TF,tRNA
600,MT-TF,tRNA
601,MT-TF,tRNA
602,MT-TF,tRNA
603,MT-TF,tRNA
604,MT-TF,tRNA
605,MT-TF,tRNA
606,MT-TF,tRNA
607,MT-TF,tRNA
608,MT-TF,tRNA
609,MT-TF,tRNA
610,MT-TF,tRNA
611,MT-TF,tRNA
612,MT-TF,tRNA
613,MT-TF,tRNA
614,MT-TF,tRNA
615,MT-TF,tRNA
616,MT-TF,tRNA
617,MT-TF,tRNA
618,MT-TF,tRNA
619,MT-TF,tRNA
620,MT-TF,tRNA
621,MT-TF,tRNA
622,MT-TF,tRNA
623,MT-TF,tRNA
624,MT-TF,tRNA
625,MT-TF,tRNA
626,MT-TF,tRNA
627,MT-TF,tRNA
628,MT-TF,tRNA
629,MT-TF,tRNA
630,MT-TF,tRNA
631,MT-TF,tRNA
632,MT-TF,tRNA
633,MT-TF,tRNA
634,MT-TF,tRNA
635,MT-TF,tRNA
636,MT-TF,tRNA
637,MT-TF,tRNA
638,MT-TF,tRNA
639,MT-TF,tRNA
640,MT-TF,tRNA
641,MT-TF,tRNA
642,MT-TF,tRNA
643,MT-TF,tRNA
644,MT-TF,tRNA
645,MT-TF,tRNA
646,MT-TF,tRNA
647,MT-TF,tRNA
648,MT-RNR1,rRNA
649,MT-RNR1,rRNA
650,MT-RNR1,rRNA
651,MT-RNR1,rRNA
652,MT-RNR1,rRNA
653,MT-RNR1,rRNA
654,MT-RNR1,rRNA
655,MT-RNR1,rRNA
656,MT-RNR1,rRNA
657,MT-RNR1,rRNA
658,MT-RNR1,rRNA
659,MT-RNR1,rRNA
660,MT-RNR1,rRNA
661,MT-RNR1,rRNA
662,MT-RNR1,rRNA
663,MT-RNR1,rRNA
664,MT-RNR1,rRNA
665,MT-RNR1,rRNA
666,MT-RNR1,rRNA
667,MT-RNR1,rRNA
668,MT-RNR1,rRNA
669,MT-RNR1,rRNA
670,MT-RNR1,rRNA
671,MT-RNR1,rRNA
672,MT-RNR1,rRNA
673,MT-RNR1,rRNA
674,MT-RNR1,rRNA
675,MT-RNR1,rRNA
676,MT-RNR1,rRNA
677,MT-RNR1,rRNA
678,MT-RNR1,rRNA
679,MT-RNR1,rRNA
680,MT-RNR1,rRNA
681,MT-RNR1,rRNA
682,MT-RNR1,rRNA
683,MT-RNR1,rRNA
684,MT-RNR1,rRNA
685,MT-RNR1,rRNA
686,MT-RNR1,rRNA
687,MT-RNR1,rRNA
688,MT-RNR1,rRNA
689,MT-RNR1,rRNA
690,MT-RNR1,rRNA
691,MT-RNR1,rRNA
692,MT-RNR1,rRNA
693,MT-RNR1,rRNA
694,MT-RNR1,rRNA
695,MT-RNR1,rRNA
696,MT-RNR1,rRNA
697,MT-RNR1,rRNA
698,MT-RNR1,rRNA
699,MT-RNR1,rRNA
700,MT-RNR1,rRNA
701,MT-RNR1,rRNA
702,MT-RNR1,rRNA
703,MT-RNR1,rRNA
704,MT-RNR1,rRNA
705,MT-RNR1,rRNA
706,MT-RNR1,rRNA
707,MT-RNR1,rRNA
708,MT-RNR1,rRNA
709,MT-RNR1,rRNA
710,MT-RNR1,rRNA
711,MT-RNR1,rRNA
712,MT-RNR1,rRNA
713,MT-RNR1,rRNA
714,MT-RNR1,rRNA
715,MT-RNR1,rRNA
716,MT-RNR1,rRNA
717,MT-RNR1,rRNA
718,MT-RNR1,rRNA
719,MT-RNR1,rRNA
720,MT-RNR1,rRNA
721,MT-RNR1,rRNA
722,MT-RNR1,rRNA
723,MT-RNR1,rRNA
724,MT-RNR1,rRNA
725,MT-RNR1,rRNA
726,MT-RNR1,rRNA
727,MT-RNR1,rRNA
728,MT-RNR1,rRNA
729,MT-RNR1,rRNA
730,MT-RNR1,rRNA
731,MT-RNR1,rRNA
732,MT-RNR1,rRNA
733,MT-RNR1,rRNA
734,MT-RNR1,rRNA
735,MT-RNR1,rRNA
736,MT-RNR1,rRNA
737,MT-RNR1,rRNA
738,MT-RNR1,rRNA
739,MT-RNR1,rRNA
740,MT-RNR1,rRNA
741,MT-RNR1,rRNA
742,MT-RNR1,rRNA
743,MT-RNR1,rRNA
744,MT-RNR1,rRNA
745,MT-RNR1,rRNA
746,MT-RNR1,rRNA
747,MT-RNR1,rRNA
748,MT-RNR1,rRNA
749,MT-RNR1,rRNA
750,MT-RNR1,rRNA
751,MT-RNR1,rRNA
752,MT-RNR1,rRNA
753,MT-RNR1,rRNA
754,MT-RNR1,rRNA
755,MT-RNR1,rRNA
756,MT-RNR1,rRNA
757,MT-RNR1,rRNA
758,MT-RNR1,rRNA
759,MT-RNR1,rRNA
760,MT-RNR1,rRNA
761,MT-RNR1,rRNA
762,MT-RNR1,rRNA
763,MT-RNR1,rRNA
764,MT-RNR1,rRNA
765,MT-RNR1,rRNA
766,MT-RNR1,rRNA
767,MT-RNR1,rRNA
768,MT-RNR1,rRNA
769,MT-RNR1,rRNA
770,MT-RNR1,rRNA
771,MT-RNR1,rRNA
772,MT-RNR1,rRNA
773,MT-RNR1,rRNA
774,MT-RNR1,rRNA
775,MT-RNR1,rRNA
776,MT-RNR1,rRNA
777,MT-RNR1,rRNA
778,MT-RNR1,rRNA
779,MT-RNR1,rRNA
780,MT-RNR1,rRNA
781,MT-RNR1,rRNA
782,MT-RNR1,rRNA
783,MT-RNR1,rRNA
784,MT-RNR1,rRNA
785,MT-RNR1,rRNA
786,MT-RNR1,rRNA
787,MT-RNR1,rRNA
788,MT-RNR1,rRNA
789,MT-RNR1,rRNA
790,MT-RNR1,rRNA
791,MT-RNR1,rRNA
792,MT-RNR1,rRNA
793,MT-RNR1,rRNA
794,MT-RNR1,rRNA
795,MT-RNR1,rRNA
796,MT-RNR1,rRNA
797,MT-RNR1,rRNA
798,MT-RNR1,rRNA
799,MT-RNR1,rRNA
800,MT-RNR1,rRNA
801,MT-RNR1,rRNA
802,MT-RNR1,rRNA
803,MT-RNR1,rRNA
804,MT-RNR1,rRNA
805,MT-RNR1,rRNA
806,MT-RNR1,rRNA
807,MT-RNR1,rRNA
808,MT-RNR1,rRNA
809,MT-RNR1,rRNA
810,MT-RNR1,rRNA
811,MT-RNR1,rRNA
812,MT-RNR1,rRNA
813,MT-RNR1,rRNA
814,MT-RNR1,rRNA
815,MT-RNR1,rRNA
816,MT-RNR1,rRNA
817,MT-RNR1,rRNA
818,MT-RNR1,rRNA
819,MT-RNR1,rRNA
820,MT-RNR1,rRNA
821,MT-RNR1,rRNA
822,MT-RNR1,rRNA
823,MT-RNR1,rRNA
824,MT-RNR1,rRNA
825,MT-RNR1,rRNA
826,MT-RNR1,rRNA
827,MT-RNR1,rRNA
828,MT-RNR1,rRNA
829,MT-RNR1,rRNA
830,MT-RNR1,rRNA
831,MT-RNR1,rRNA
832,MT-RNR1,rRNA
833,MT-RNR1,rRNA
834,MT-RNR1,rRNA
835,MT-RNR1,rRNA
836,MT-RNR1,rRNA
837,MT-RNR1,rRNA
838,MT-RNR1,rRNA
839,MT-RNR1,rRNA
840,MT-RNR1,rRNA
841,MT-RNR1,rRNA
842,MT-RNR1,rRNA
843,MT-RNR1,rRNA
844,MT-RNR1,rRNA
845,MT-RNR1,rRNA
846,MT-RNR1,rRNA
847,MT-RNR1,rRNA
848,MT-RNR1,rRNA
849,MT-RNR1,rRNA
850,MT-RNR1,rRNA
851,MT-RNR1,rRNA
852,MT-RNR1,rRNA
853,MT-RNR1,rRNA
854,MT-RNR1,rRNA
855,MT-RNR1,rRNA
856,MT-RNR1,rRNA
857,MT-RNR1,rRNA
858,MT-RNR1,rRNA
859,MT-RNR1,rRNA
860,MT-RNR1,rRNA
861,MT-RNR1,rRNA
862,MT-RNR1,rRNA
863,MT-RNR1,rRNA
864,MT-RNR1,rRNA
865,MT-RNR1,rRNA
866,MT-RNR1,rRNA
867,MT-RNR1,rRNA
868,MT-RNR1,rRNA
869,MT-RNR1,rRNA
870,MT-RNR1,rRNA
871,MT-RNR1,rRNA
872,MT-RNR1,rRNA
873,MT-RNR1,rRNA
874,MT-RNR1,rRNA
875,MT-RNR1,rRNA
876,MT-RNR1,rRNA
877,MT-RNR1,rRNA
878,MT-RNR1,rRNA
879,MT-RNR1,rRNA
880,MT-RNR1,rRNA
881,MT-RNR1,rRNA
882,MT-RNR1,rRNA
883,MT-RNR1,rRNA
884,MT-RNR1,rRNA
885,MT-RNR1,rRNA
886,MT-RNR1,rRNA
887,MT-RNR1,rRNA
888,MT-RNR1,rRNA
889,MT-RNR1,rRNA
890,MT-RNR1,rRNA
891,MT-RNR1,rRNA
892,MT-RNR1,rRNA
893,MT-RNR1,rRNA
894,MT-RNR1,rRNA
895,MT-RNR1,rRNA
896,MT-RNR1,rRNA
897,MT-RNR1,rRNA
898,MT-RNR1,rRNA
899,MT-RNR1,rRNA
900,MT-RNR1,rRNA
901,MT-RNR1,rRNA
902,MT-RNR1,rRNA
903,MT-RNR1,rRNA
904,MT-RNR1,rRNA
905,MT-RNR1,rRNA
906,MT-RNR1,rRNA
907,MT-RNR1,rRNA
908,MT-RNR1,rRNA
909,MT-RNR1,rRNA
910,MT-RNR1,rRNA
911,MT-RNR1,rRNA
912,MT-RNR1,rRNA
913,MT-RNR1,rRNA
914,MT-RNR1,rRNA
915,MT-RNR1,rRNA
916,MT-RNR1,rRNA
917,MT-RNR1,rRNA
918,MT-RNR1,rRNA
919,MT-RNR1,rRNA
920,MT-RNR1,rRNA
921,MT-RNR1,rRNA
922,MT-RNR1,rRNA
923,MT-RNR1,rRNA
924,MT-RNR1,rRNA
925,MT-RNR1,rRNA
926,MT-RNR1,rRNA
927,MT-RNR1,rRNA
928,MT-RNR1,rRNA
929,MT-RNR1,rRNA
930,MT-RNR1,rRNA
931,MT-RNR1,rRNA
932,MT-RNR1,rRNA
933,MT-RNR1,rRNA
934,MT-RNR1,rRNA
935,MT-RNR1,rRNA
936,MT-RNR1,rRNA
937,MT-RNR1,rRNA
938,MT-RNR1,rRNA
939,MT-RNR1,rRNA
940,MT-RNR1,rRNA
941,MT-RNR1,rRNA
942,MT-RNR1,rRNA
943,MT-RNR1,rRNA
944,MT-RNR1,rRNA
945,MT-RNR1,rRNA
946,MT-RNR1,rRNA
947,MT-RNR1,rRNA
948,MT-RNR1,rRNA
949,MT-RNR1,rRNA
950,MT-RNR1,rRNA
951,MT-RNR1,rRNA
952,MT-RNR1,rRNA
953,MT-RNR1,rRNA
954,MT-RNR1,rRNA
955,MT-RNR1,rRNA
956,MT-RNR1,rRNA
957,MT-RNR1,rRNA
958,MT-RNR1,rRNA
959,MT-RNR1,rRNA
960,MT-RNR1,rRNA
961,MT-RNR1,rRNA
962,MT-RNR1,rRNA
963,MT-RNR1,rRNA
964,MT-RNR1,rRNA
965,MT-RNR1,rRNA
966,MT-RNR1,rRNA
967,MT-RNR1,rRNA
968,MT-RNR1,rRNA
969,MT-RNR1,rRNA
970,MT-RNR1,rRNA
971,MT-RNR1,rRNA
972,MT-RNR1,rRNA
973,MT-RNR1,rRNA
974,MT-RNR1,rRNA
975,MT-RNR1,rRNA
976,MT-RNR1,rRNA
977,MT-RNR1,rRNA
978,MT-RNR1,rRNA
